,state,pollster_id,pollster,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size_governor,population,population_full,methodology,office_type,ranked_choice_reallocated,answer,candidate_name,candidate_party,pct,president,sample_size_president,yes,no,alternate_answers
24,,1406,Global Strategy Group/GBAO/Navigator Research,Global Strategy Group/GBAO (Navigator Research),413,Global Strategy Group/GBAO (Navigator Research),2.5,,,,Online,,,,,,,Joe Biden,1001.0,43.0,53.0,3.0
25,,399,Rasmussen (Pulse Opinion Research),Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,3.0,,,,IVR/Online,,,,,,,Joe Biden,1500.0,41.0,57.0,0.0
26,,1360,AP-NORC,AP-NORC,397,AP-NORC,,,,,Live Phone/Online,,,,,,,Joe Biden,1083.0,48.0,51.0,1.0
27,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,15000.0,45.0,48.0,0.0
28,,1575,Léger,Léger,572,Léger,2.5,,,,Online,,,,,,,Joe Biden,1002.0,43.0,54.0,2.0
29,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,1999.0,46.0,51.0,3.0
30,,399,Rasmussen (Pulse Opinion Research),Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,3.0,,,,IVR/Online,,,,,,,Joe Biden,1500.0,43.0,56.0,0.0
31,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,15000.0,45.0,48.0,0.0
32,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,2201.0,49.0,47.0,0.0
33,,1416,HarrisX,HarrisX,133,Harris Insights & Analytics,3.3,,,,Online,,,,,,,Joe Biden,2727.0,42.0,47.0,11.0
34,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,15000.0,46.0,47.0,0.0
35,,1027,Saint Leo U.,Saint Leo University,299,Saint Leo University,1.5,,,,Online,,,,,,,Joe Biden,1000.0,52.1,44.9,3.0
36,,1205,Marist,Marist College,183,Marist College,4.0,,,,Live Phone,,,,,,,Joe Biden,1209.0,44.0,49.0,8.0
37,,1205,Marist,Marist College,183,Marist College,4.0,,,,Live Phone,,,,,,,Joe Biden,1032.0,44.0,50.0,6.0
38,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,15000.0,45.0,47.0,0.0
39,,241,Ipsos,Ipsos,154,Ipsos,2.7,,,,Online,,,,,,,Joe Biden,1005.0,46.0,48.0,0.0
40,,399,Rasmussen (Pulse Opinion Research),Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,3.0,,,,IVR/Online,,,,,,,Joe Biden,1500.0,42.0,57.0,0.0
41,Virginia,1250,Trafalgar Group,Trafalgar Group,338,Trafalgar Group,3.7,1081.0,lv,lv,IVR/Online/Text/Live Phone,Governor,False,McAuliffe,Terry R. McAuliffe,DEM,47.1,Joe Biden,1083.0,39.2,58.4,2.4
42,Virginia,1250,Trafalgar Group,Trafalgar Group,338,Trafalgar Group,3.7,1081.0,lv,lv,IVR/Online/Text/Live Phone,Governor,False,Youngkin,Glenn Youngkin,REP,49.4,Joe Biden,1083.0,39.2,58.4,2.4
43,New Jersey,1250,Trafalgar Group,Trafalgar Group,338,Trafalgar Group,3.7,1085.0,lv,lv,IVR/Online/Text/Live Phone,Governor,False,Murphy,Philip Murphy,DEM,49.4,Joe Biden,1083.0,39.2,58.4,2.4
44,New Jersey,1250,Trafalgar Group,Trafalgar Group,338,Trafalgar Group,3.7,1085.0,lv,lv,IVR/Online/Text/Live Phone,Governor,False,Ciattarelli,Jack M. Ciattarelli,REP,45.2,Joe Biden,1083.0,39.2,58.4,2.4
45,Virginia,1250,Trafalgar Group,Trafalgar Group,338,Trafalgar Group,3.7,1095.0,lv,lv,IVR/Online/Text/Live Phone,Governor,False,McAuliffe,Terry R. McAuliffe,DEM,47.5,Joe Biden,1083.0,39.2,58.4,2.4
46,Virginia,1250,Trafalgar Group,Trafalgar Group,338,Trafalgar Group,3.7,1095.0,lv,lv,IVR/Online/Text/Live Phone,Governor,False,Youngkin,Glenn Youngkin,REP,48.4,Joe Biden,1083.0,39.2,58.4,2.4
47,Virginia,1250,Trafalgar Group,Trafalgar Group,338,Trafalgar Group,3.7,1074.0,lv,lv,IVR/Online/Text/Live Phone,Governor,False,McAuliffe,Terry R. McAuliffe,DEM,46.6,Joe Biden,1083.0,39.2,58.4,2.4
48,Virginia,1250,Trafalgar Group,Trafalgar Group,338,Trafalgar Group,3.7,1074.0,lv,lv,IVR/Online/Text/Live Phone,Governor,False,Youngkin,Glenn Youngkin,REP,46.3,Joe Biden,1083.0,39.2,58.4,2.4
49,Virginia,1250,Trafalgar Group,Trafalgar Group,338,Trafalgar Group,3.7,1104.0,lv,lv,IVR/Online/Text/Live Phone,Governor,False,McAuliffe,Terry R. McAuliffe,DEM,46.8,Joe Biden,1083.0,39.2,58.4,2.4
50,Virginia,1250,Trafalgar Group,Trafalgar Group,338,Trafalgar Group,3.7,1104.0,lv,lv,IVR/Online/Text/Live Phone,Governor,False,Youngkin,Glenn Youngkin,REP,45.0,Joe Biden,1083.0,39.2,58.4,2.4
51,Virginia,568,YouGov,YouGov,391,YouGov,3.3,1040.0,lv,lv,Online,Governor,False,McAuliffe,Terry R. McAuliffe,DEM,50.0,Joe Biden,1704.0,44.0,49.0,8.0
52,Virginia,568,YouGov,YouGov,391,YouGov,3.3,1040.0,lv,lv,Online,Governor,False,Youngkin,Glenn Youngkin,REP,47.0,Joe Biden,1704.0,44.0,49.0,8.0
53,,1517,Georgetown University/Battleground,Georgetown University/Battleground,114,Georgetown University (Battleground),3.5,,,,Live Phone,,,,,,,Joe Biden,1000.0,45.3,52.2,2.5
54,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,15000.0,46.0,47.0,0.0
55,,399,Rasmussen (Pulse Opinion Research),Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,3.0,,,,IVR/Online,,,,,,,Joe Biden,1500.0,42.0,56.0,0.0
56,,1554,RMG Research,RMG Research,555,RMG Research,2.7,,,,IVR/Online/Text,,,,,,,Joe Biden,1200.0,47.0,47.0,0.0
57,,23,American Research Group,American Research Group,9,American Research Group,2.3,,,,Live Phone,,,,,,,Joe Biden,1100.0,47.0,47.0,6.0
58,,23,American Research Group,American Research Group,9,American Research Group,2.3,,,,Live Phone,,,,,,,Joe Biden,992.0,47.0,48.0,5.0
59,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,15000.0,46.0,47.0,0.0
60,,399,Rasmussen (Pulse Opinion Research),Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,3.0,,,,IVR/Online,,,,,,,Joe Biden,1500.0,41.0,58.0,0.0
61,Virginia,568,YouGov,YouGov,391,YouGov,3.3,1040.0,lv,lv,Online,Governor,False,McAuliffe,Terry R. McAuliffe,DEM,50.0,Joe Biden,1500.0,44.0,46.0,10.0
62,Virginia,568,YouGov,YouGov,391,YouGov,3.3,1040.0,lv,lv,Online,Governor,False,Youngkin,Glenn Youngkin,REP,47.0,Joe Biden,1500.0,44.0,46.0,10.0
63,Virginia,568,YouGov,YouGov,391,YouGov,3.3,1040.0,lv,lv,Online,Governor,False,McAuliffe,Terry R. McAuliffe,DEM,50.0,Joe Biden,1268.0,45.0,48.0,7.0
64,Virginia,568,YouGov,YouGov,391,YouGov,3.3,1040.0,lv,lv,Online,Governor,False,Youngkin,Glenn Youngkin,REP,47.0,Joe Biden,1268.0,45.0,48.0,7.0
65,,590,Fox News,Fox News,103,Fox News/Beacon Research/Shaw & Co. Research,4.0,,,,Live Phone,,,,,,,Joe Biden,1003.0,46.0,53.0,0.0
66,,1302,Echelon Insights,Echelon Insights,407,Echelon Insights,2.5,,,,Online,,,,,,,Joe Biden,1098.0,47.0,51.0,2.0
67,,1302,Echelon Insights,Echelon Insights,407,Echelon Insights,2.5,,,,Online,,,,,,,Joe Biden,915.0,48.0,51.0,1.0
68,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,15000.0,46.0,47.0,0.0
69,,169,Gallup,Gallup,112,Gallup,3.3,,,,Live Phone,,,,,,,Joe Biden,823.0,42.0,52.0,6.0
70,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,1998.0,45.0,52.0,3.0
71,,396,Quinnipiac,Quinnipiac University,267,Quinnipiac University,3.7,,,,Live Phone,,,,,,,Joe Biden,1342.0,37.0,52.0,12.0
72,,396,Quinnipiac,Quinnipiac University,267,Quinnipiac University,3.7,,,,Live Phone,,,,,,,Joe Biden,1168.0,40.0,51.0,9.0
73,,399,Rasmussen (Pulse Opinion Research),Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,3.0,,,,IVR/Online,,,,,,,Joe Biden,1500.0,42.0,56.0,0.0
74,,294,McLaughlin,McLaughlin & Associates,203,McLaughlin & Associates,1.5,,,,Online,,,,,,,Joe Biden,1000.0,45.0,54.0,2.0
75,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,15000.0,46.0,47.0,0.0
76,,1562,Redfield & Wilton Strategies,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,2.5,,,,Online,,,,,,,Joe Biden,1500.0,43.0,39.0,18.0
77,,1510,CNBC/Hart Research/Public Opinion Strategies,CNBC/Hart Research/Public Opinion Strategies,221,NBC News/The Wall Street Journal,3.3,,,,Live Phone,,,,,,,Joe Biden,800.0,41.0,52.0,0.0
78,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,2200.0,49.0,45.0,0.0
79,,399,Rasmussen (Pulse Opinion Research),Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,3.0,,,,IVR/Online,,,,,,,Joe Biden,1500.0,42.0,56.0,0.0
80,,437,Selzer,Selzer & Co.,304,Selzer & Co.,4.3,,,,Live Phone,,,,,,,Joe Biden,915.0,37.0,50.0,12.0
81,,437,Selzer,Selzer & Co.,304,Selzer & Co.,4.3,,,,Live Phone,,,,,,,Joe Biden,735.0,40.0,51.0,8.0
82,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,15000.0,46.0,47.0,0.0
83,,1554,RMG Research,RMG Research,555,RMG Research,2.7,,,,IVR/Online/Text,,,,,,,Joe Biden,1200.0,47.0,48.0,5.0
84,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,15000.0,46.0,47.0,0.0
85,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,15000.0,46.0,47.0,0.0
86,,241,Ipsos,Ipsos,154,Ipsos,2.7,,,,Online,,,,,,,Joe Biden,1005.0,46.0,48.0,0.0
87,,399,Rasmussen (Pulse Opinion Research),Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,3.0,,,,IVR/Online,,,,,,,Joe Biden,1500.0,43.0,56.0,0.0
88,,1690,"Cor Services, Inc.","Cor Services, Inc.",688,"Cor Services, Inc.",,,,,IVR,,,,,,,Joe Biden,508.0,40.0,56.0,4.0
89,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,15000.0,46.0,47.0,0.0
90,,399,Rasmussen (Pulse Opinion Research),Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,3.0,,,,IVR/Online,,,,,,,Joe Biden,1500.0,43.0,56.0,0.0
91,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,2201.0,48.0,47.0,0.0
92,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,15000.0,46.0,47.0,0.0
93,,399,Rasmussen (Pulse Opinion Research),Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,3.0,,,,IVR/Online,,,,,,,Joe Biden,1500.0,43.0,56.0,0.0
94,Virginia,568,YouGov,YouGov,391,YouGov,3.3,1040.0,lv,lv,Online,Governor,False,McAuliffe,Terry R. McAuliffe,DEM,50.0,Joe Biden,1500.0,40.0,50.0,11.0
95,Virginia,568,YouGov,YouGov,391,YouGov,3.3,1040.0,lv,lv,Online,Governor,False,Youngkin,Glenn Youngkin,REP,47.0,Joe Biden,1500.0,40.0,50.0,11.0
96,Virginia,568,YouGov,YouGov,391,YouGov,3.3,1040.0,lv,lv,Online,Governor,False,McAuliffe,Terry R. McAuliffe,DEM,50.0,Joe Biden,1266.0,42.0,51.0,7.0
97,Virginia,568,YouGov,YouGov,391,YouGov,3.3,1040.0,lv,lv,Online,Governor,False,Youngkin,Glenn Youngkin,REP,47.0,Joe Biden,1266.0,42.0,51.0,7.0
98,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,2200.0,47.0,48.0,0.0
99,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,2200.0,46.0,49.0,0.0
100,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,2200.0,47.0,48.0,0.0
101,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,15000.0,46.0,47.0,0.0
102,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,1999.0,46.0,51.0,3.0
103,,399,Rasmussen (Pulse Opinion Research),Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,3.0,,,,IVR/Online,,,,,,,Joe Biden,1500.0,41.0,57.0,0.0
104,,1361,SSRS,CNN/SSRS,297,SSRS,2.0,,,,Online,,,,,,,Joe Biden,1000.0,50.0,49.0,0.0
105,,1361,SSRS,CNN/SSRS,297,SSRS,2.0,,,,Online,,,,,,,Joe Biden,,50.0,50.0,0.0
106,,1406,Global Strategy Group/GBAO/Navigator Research,Global Strategy Group/GBAO (Navigator Research),413,Global Strategy Group/GBAO (Navigator Research),2.5,,,,Online,,,,,,,Joe Biden,1001.0,46.0,51.0,3.0
107,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,15000.0,46.0,47.0,0.0
108,,1575,Léger,Léger,572,Léger,2.5,,,,Online,,,,,,,Joe Biden,1000.0,45.0,53.0,2.0
109,,399,Rasmussen (Pulse Opinion Research),Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,3.0,,,,IVR/Online,,,,,,,Joe Biden,1500.0,41.0,58.0,0.0
110,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,15000.0,46.0,47.0,0.0
111,,1554,RMG Research,RMG Research,555,RMG Research,2.7,,,,IVR/Online/Text,,,,,,,Joe Biden,1200.0,47.0,50.0,0.0
112,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,15000.0,46.0,47.0,0.0
113,Virginia,568,YouGov,YouGov,391,YouGov,3.3,1040.0,lv,lv,Online,Governor,False,McAuliffe,Terry R. McAuliffe,DEM,50.0,Joe Biden,2054.0,50.0,50.0,0.0
114,Virginia,568,YouGov,YouGov,391,YouGov,3.3,1040.0,lv,lv,Online,Governor,False,Youngkin,Glenn Youngkin,REP,47.0,Joe Biden,2054.0,50.0,50.0,0.0
115,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,2200.0,49.0,46.0,0.0
116,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,15000.0,46.0,47.0,0.0
117,,241,Ipsos,Ipsos,154,Ipsos,2.7,,,,Online,,,,,,,Joe Biden,1005.0,48.0,47.0,0.0
118,,399,Rasmussen (Pulse Opinion Research),Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,3.0,,,,IVR/Online,,,,,,,Joe Biden,1500.0,43.0,56.0,0.0
119,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,15000.0,45.0,47.0,0.0
120,,399,Rasmussen (Pulse Opinion Research),Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,3.0,,,,IVR/Online,,,,,,,Joe Biden,1500.0,43.0,55.0,0.0
121,Virginia,1250,Trafalgar Group,Trafalgar Group,338,Trafalgar Group,3.7,1081.0,lv,lv,IVR/Online/Text/Live Phone,Governor,False,McAuliffe,Terry R. McAuliffe,DEM,47.1,Joe Biden,1087.0,39.6,56.0,4.3
122,Virginia,1250,Trafalgar Group,Trafalgar Group,338,Trafalgar Group,3.7,1081.0,lv,lv,IVR/Online/Text/Live Phone,Governor,False,Youngkin,Glenn Youngkin,REP,49.4,Joe Biden,1087.0,39.6,56.0,4.3
123,New Jersey,1250,Trafalgar Group,Trafalgar Group,338,Trafalgar Group,3.7,1085.0,lv,lv,IVR/Online/Text/Live Phone,Governor,False,Murphy,Philip Murphy,DEM,49.4,Joe Biden,1087.0,39.6,56.0,4.3
124,New Jersey,1250,Trafalgar Group,Trafalgar Group,338,Trafalgar Group,3.7,1085.0,lv,lv,IVR/Online/Text/Live Phone,Governor,False,Ciattarelli,Jack M. Ciattarelli,REP,45.2,Joe Biden,1087.0,39.6,56.0,4.3
125,Virginia,1250,Trafalgar Group,Trafalgar Group,338,Trafalgar Group,3.7,1095.0,lv,lv,IVR/Online/Text/Live Phone,Governor,False,McAuliffe,Terry R. McAuliffe,DEM,47.5,Joe Biden,1087.0,39.6,56.0,4.3
126,Virginia,1250,Trafalgar Group,Trafalgar Group,338,Trafalgar Group,3.7,1095.0,lv,lv,IVR/Online/Text/Live Phone,Governor,False,Youngkin,Glenn Youngkin,REP,48.4,Joe Biden,1087.0,39.6,56.0,4.3
127,Virginia,1250,Trafalgar Group,Trafalgar Group,338,Trafalgar Group,3.7,1074.0,lv,lv,IVR/Online/Text/Live Phone,Governor,False,McAuliffe,Terry R. McAuliffe,DEM,46.6,Joe Biden,1087.0,39.6,56.0,4.3
128,Virginia,1250,Trafalgar Group,Trafalgar Group,338,Trafalgar Group,3.7,1074.0,lv,lv,IVR/Online/Text/Live Phone,Governor,False,Youngkin,Glenn Youngkin,REP,46.3,Joe Biden,1087.0,39.6,56.0,4.3
129,Virginia,1250,Trafalgar Group,Trafalgar Group,338,Trafalgar Group,3.7,1104.0,lv,lv,IVR/Online/Text/Live Phone,Governor,False,McAuliffe,Terry R. McAuliffe,DEM,46.8,Joe Biden,1087.0,39.6,56.0,4.3
130,Virginia,1250,Trafalgar Group,Trafalgar Group,338,Trafalgar Group,3.7,1104.0,lv,lv,IVR/Online/Text/Live Phone,Governor,False,Youngkin,Glenn Youngkin,REP,45.0,Joe Biden,1087.0,39.6,56.0,4.3
131,,1690,"Cor Services, Inc.","Cor Services, Inc.",688,"Cor Services, Inc.",,,,,IVR,,,,,,,Joe Biden,516.0,39.0,53.0,9.0
132,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,15000.0,45.0,47.0,0.0
133,,1562,Redfield & Wilton Strategies,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,2.5,,,,Online,,,,,,,Joe Biden,1500.0,45.0,37.0,19.0
134,Virginia,568,YouGov,YouGov,391,YouGov,3.3,1040.0,lv,lv,Online,Governor,False,McAuliffe,Terry R. McAuliffe,DEM,50.0,Joe Biden,1500.0,42.0,48.0,10.0
135,Virginia,568,YouGov,YouGov,391,YouGov,3.3,1040.0,lv,lv,Online,Governor,False,Youngkin,Glenn Youngkin,REP,47.0,Joe Biden,1500.0,42.0,48.0,10.0
136,Virginia,568,YouGov,YouGov,391,YouGov,3.3,1040.0,lv,lv,Online,Governor,False,McAuliffe,Terry R. McAuliffe,DEM,50.0,Joe Biden,1261.0,44.0,49.0,6.0
137,Virginia,568,YouGov,YouGov,391,YouGov,3.3,1040.0,lv,lv,Online,Governor,False,Youngkin,Glenn Youngkin,REP,47.0,Joe Biden,1261.0,44.0,49.0,6.0
138,,399,Rasmussen (Pulse Opinion Research),Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,3.0,,,,IVR/Online,,,,,,,Joe Biden,1500.0,45.0,54.0,0.0
139,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,15000.0,46.0,47.0,0.0
140,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,1998.0,45.0,52.0,4.0
141,,396,Quinnipiac,Quinnipiac University,267,Quinnipiac University,3.7,,,,Live Phone,,,,,,,Joe Biden,1326.0,38.0,53.0,9.0
142,,396,Quinnipiac,Quinnipiac University,267,Quinnipiac University,3.7,,,,Live Phone,,,,,,,Joe Biden,1177.0,40.0,53.0,7.0
143,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,2200.0,45.0,49.0,0.0
144,Virginia,568,YouGov,YouGov,391,YouGov,3.3,1040.0,lv,lv,Online,Governor,False,McAuliffe,Terry R. McAuliffe,DEM,50.0,Joe Biden,1640.0,42.0,50.0,8.0
145,Virginia,568,YouGov,YouGov,391,YouGov,3.3,1040.0,lv,lv,Online,Governor,False,Youngkin,Glenn Youngkin,REP,47.0,Joe Biden,1640.0,42.0,50.0,8.0
146,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,4400.0,46.0,49.0,0.0
147,,399,Rasmussen (Pulse Opinion Research),Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,3.0,,,,IVR/Online,,,,,,,Joe Biden,1500.0,43.0,55.0,0.0
148,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,15000.0,46.0,47.0,0.0
149,,399,Rasmussen (Pulse Opinion Research),Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,3.0,,,,IVR/Online,,,,,,,Joe Biden,1500.0,43.0,56.0,0.0
150,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,15000.0,46.0,47.0,0.0
151,,228,IBD/TIPP,IBD/TIPP,144,IBD/TIPP,4.3,,,,Online,,,,,,,Joe Biden,1308.0,44.0,40.0,0.0
152,,1189,Morning Consult,Morning Consult,218,Morning Consult,3.0,,,,Online,,,,,,,Joe Biden,15000.0,45.0,47.0,0.0
153,,383,PPP,Public Policy Polling,263,Public Policy Polling,3.7,,,,IVR/Text,,,,,,,Joe Biden,758.0,46.0,47.0,7.0
